,Predicted Rating
4,3.39097571511
43,3.3024368186
120,3.29896830255
58,3.28282061681
97,3.27807912322
34,3.26948263903
23,3.26267522809
82,3.26180883705
73,3.25694797241
106,3.25427450285
66,3.25105829555
140,3.25076935921
110,3.24534634749
88,3.23090444596
103,3.23059730845
145,3.22966681391
133,3.2253913067
70,3.22429991417
40,3.22338387926
42,3.22331834024
146,3.22307485018
90,3.22285643494
31,3.21937817879
102,3.21908321176
60,3.21864494426
108,3.21854595409
78,3.21839707471
63,3.2159336271
77,3.21376517738
92,3.21190265043
10,3.20946558872
15,3.20656411447
24,3.20608080178
115,3.20209017202
49,3.19834586704
57,3.19762270107
136,3.19691613424
6,3.19658566071
119,3.19637955031
68,3.19623453345
55,3.19439552421
138,3.19326718144
111,3.19236303131
123,3.19211435855
38,3.19079725479
35,3.18847340665
109,3.18688193581
65,3.1865580972
129,3.18601765313
107,3.18478187424
80,3.18261915152
56,3.18008057387
99,3.17944234781
86,3.17900029116
50,3.17874294519
29,3.1787246565
144,3.17432693563
1,3.17279789143
148,3.17265768894
54,3.16902701433
134,3.16826209695
84,3.16704925223
98,3.16609274946
14,3.1658157299
5,3.16529147782
8,3.1609479793
53,3.15986105244
87,3.15703306501
69,3.15549885106
76,3.15324559297
45,3.1502561884
128,3.15008427369
141,3.14925594306
81,3.14638242048
11,3.14583958041
44,3.14440930671
118,3.14393821097
112,3.14357558914
74,3.13393466927
149,3.1240017744
22,3.12192202686
93,3.11370131686
101,3.10647996705
67,3.10469057932
132,3.09880931317
13,3.09875443408
48,3.09768637001
2,3.09615660133
19,3.09087081638
95,3.07881817374
79,3.06778685842
139,3.06295843528
85,3.05330623102
0,3.00548030494
