,Predicted Rating
120,3.57696037967
6,3.48197485949
7,3.48159874318
115,3.47151850359
49,3.46769382256
38,3.45498458686
78,3.44966333401
4,3.44660973523
122,3.40509896408
126,3.38190782743
142,3.37850127138
8,3.37633361408
3,3.36965555544
37,3.36915382313
106,3.36177630778
96,3.36051866112
129,3.35935008861
23,3.35619616047
51,3.33665955792
148,3.32786621523
16,3.32614910092
145,3.31944650267
71,3.31884177023
11,3.3025493312
113,3.30146866521
41,3.29558132048
58,3.29144215378
35,3.28225778112
83,3.27464415164
42,3.26009114798
55,3.25928519884
66,3.2563831263
110,3.25611957721
40,3.25597423875
105,3.25375182136
136,3.24831590037
34,3.24756418501
95,3.24184667736
5,3.23671323348
140,3.23510979782
2,3.23115163704
118,3.22950427121
73,3.22888480306
64,3.21902989762
36,3.2140549547
135,3.21029891372
28,3.19998461199
134,3.19788501016
57,3.19096329445
138,3.18782311758
39,3.18412590504
75,3.17326415203
33,3.15877122499
14,3.15836358672
112,3.15365834319
20,3.15276455888
144,3.14089648101
87,3.13047984585
88,3.12944739386
65,3.12877927061
89,3.1287669533
141,3.12253426214
19,3.11606739229
62,3.11546477945
26,3.09387625765
22,3.09349760731
146,3.08743881694
27,3.08401548559
12,3.07959048195
149,3.06169766039
47,3.05994632338
32,3.03622085599
127,3.03540142012
81,3.02874409903
128,3.02096391501
80,3.0194818636
77,3.01454697876
29,3.01445851751
9,3.01246170275
0,3.01043474084
101,3.00686890688
60,3.00416994246
91,2.98922178191
76,2.9880031712
21,2.9813370905
117,2.97601650554
125,2.93804592681
132,2.93146843127
139,2.92124972978
99,2.90874878642
116,2.88512417949
84,2.75486538052
